Node no.,X,Y,Z
170,-2.1947,2.79117,-16.5413
171,-2.36314,2.81986,-16.309
172,-2.4417,2.78711,-16.2199
173,-1.45253,2.64697,-17.2131
174,-1.51491,2.65438,-17.1518
175,-1.89574,2.8623,-16.7573
176,-2.05765,2.89498,-16.606
177,-1.96585,2.88205,-16.6918
178,-1.85505,2.80273,-16.8179
179,-1.59314,2.65373,-17.0846
180,-1.80217,2.74222,-16.883
181,-1.7413,2.69164,-16.9494
182,-1.67362,2.66136,-17.0151
183,-2.11666,2.74775,-16.6414
184,-1.35505,4.50545,-15.9641
185,-1.36005,2.63279,-17.3095
186,-1.39589,2.65219,-17.2636
187,-1.31741,2.62212,-17.3569
188,-1.31397,2.55999,-17.3925
189,-1.30455,2.48331,-17.4358
190,-1.38246,2.72465,-17.2293
191,-1.46703,2.94886,-16.9738
192,-1.40933,2.93061,-17.0357
193,-1.36146,2.91345,-17.0926
194,-1.36112,2.86483,-17.1388
195,-1.36713,2.80336,-17.1851
196,-1.43151,3.02234,-16.9297
197,-1.47036,3.36418,-16.5861
198,-1.44163,3.29491,-16.6596
199,-1.41494,3.23118,-16.7324
200,-1.40339,3.16615,-16.8031
201,-1.40866,3.09516,-16.872
202,-1.57327,3.46364,-16.4695
203,-1.48914,3.44512,-16.5133
204,-1.40551,3.42434,-16.5597
205,-1.59207,3.5462,-16.4046
206,-1.3613,4.42048,-16.0161
207,-1.36954,4.3418,-16.0516
208,-1.49971,4.22072,-16.1324
209,-1.52436,4.15384,-16.1419
210,-1.38263,4.26671,-16.0845
211,-1.44213,4.23932,-16.1163
212,-1.49015,4.0929,-16.1528
213,-1.46275,4.02834,-16.1723
214,-1.4499,3.9601,-16.1981
215,-1.4711,3.89619,-16.2212
216,-1.6163,3.61881,-16.3477
217,-1.61091,3.69186,-16.2999
218,-1.54209,3.84374,-16.2301
219,-1.56779,3.77184,-16.2617
220,-1.29637,2.40535,-17.4748
221,-2.13329,3.95205,-15.8567
222,-2.15525,4.0237,-15.8558
223,-2.16176,3.901,-15.8096
224,-2.01431,3.58305,-16.0835
225,-2.00509,3.64242,-16.0643
226,-2.01336,3.71181,-16.0206
227,-2.01967,3.79062,-15.9864
228,-2.07444,3.81406,-15.9134
229,-2.1269,3.83426,-15.843
230,-2.038,3.39289,-16.1924
231,-2.08659,3.30734,-16.198
232,-2.04714,3.44795,-16.1283
233,-2.06338,3.513,-16.0471
234,-2.335,2.97249,-16.1662
235,-2.23711,3.06399,-16.2274
236,-2.1548,3.19722,-16.2052
237,-2.42865,2.88612,-16.1065
238,-2.49117,2.79656,-16.1198
239,-2.3987,2.70079,-16.3728
240,-2.32809,2.69098,-16.469
241,-2.23536,2.66208,-16.5838
242,-2.14574,2.62311,-16.6842
243,-2.541,2.72539,-16.1296
244,-2.47693,2.69312,-16.2669
245,-2.46394,2.61374,-16.3625
246,-1.43889,2.57694,-17.2635
247,-1.39034,2.55161,-17.3233
248,-1.57276,2.56911,-17.1398
249,-1.50391,2.56501,-17.2055
250,-1.39063,2.47135,-17.3564
251,-1.37615,2.38796,-17.3999
252,-1.93704,2.78455,-16.7687
253,-2.01825,2.78484,-16.7038
254,-1.8806,2.70294,-16.8469
255,-1.6538,2.57272,-17.0687
256,-1.8075,2.63673,-16.9238
257,-1.7327,2.5912,-16.9973
258,-2.05767,2.66593,-16.7325
259,-2.09449,2.55599,-16.7484
260,-2.16664,2.51539,-16.7116
261,-1.28446,4.43815,-15.9292
262,-1.284,4.5295,-15.8468
263,-1.23895,4.53955,-15.716
264,-1.21923,4.53685,-15.5826
265,-1.32045,2.71846,-17.2916
266,-1.27299,2.70139,-17.3488
267,-1.24609,2.65416,-17.4036
268,-1.23365,2.58442,-17.4536
269,-1.22752,2.50879,-17.4972
270,-1.22284,2.43205,-17.5363
271,-1.2917,2.80334,-17.2531
272,-1.36376,3.00551,-16.9973
273,-1.30781,2.97941,-17.0704
274,-1.27579,2.93621,-17.1437
275,-1.27316,2.87769,-17.2038
276,-1.33188,3.08084,-16.9414
277,-1.37271,3.357,-16.6334
278,-1.34332,3.29357,-16.7083
279,-1.32989,3.22757,-16.783
280,-1.32566,3.15675,-16.8622
281,-1.50141,3.52879,-16.4456
282,-1.41908,3.50091,-16.4913
283,-1.35303,3.47362,-16.5354
284,-1.31634,3.41965,-16.5985
